name,brand,condition,packaging,saleTerms,group,type,audience,ridingStyles,sizeLabel,sizeFilterKeys,officialSize,variant,color,price,reference,url,sku,id,productId,observedAt
"Prologo NAGO R4 3D PAS 137-HARD BLACK- NACK","Prologo","","","","Components","Saddles","","","","","","","","462","462","https://bikecloset.com/product/prologo-nago-r4-3d-pas-137-hard-black-nack/","4711946199012","1796934","1796934","2026-09-11T12:08:04.173Z"
"Look KEO CLASSIC 3 PLUS (OEM)","Look","","OEM","","Components","Pedals & cleats","","","","","","","","59.99","95","https://bikecloset.com/product/look-keo-classic-3-plus-packaging/","3611720172969a","1773097","1773097","2026-09-11T12:08:04.173Z"
"Look CLASSIC 3 BLACK RED (OEM)","Look","","OEM","","Components","Pedals & cleats","","","","","","","","39.99","65","https://bikecloset.com/product/look-classic-3-black-red-packaging/","3611720127266a","1773096","1773096","2026-09-11T12:08:04.173Z"
"Look CLASSIC 3 BLACK WHITE (OEM)","Look","","OEM","","Components","Pedals & cleats","","","","","","","","39.99","65","https://bikecloset.com/product/look-classic-3-black-white-packaging/","3611720127259a","1773095","1773095","2026-09-11T12:08:04.173Z"
"Look CLASSIC 3 BLACK (OEM)","Look","","OEM","","Components","Pedals & cleats","","","","","","","","39.99","65","https://bikecloset.com/product/look-classic-3-black-packaging/","3611720110909a","1773094","1773094","2026-09-11T12:08:04.173Z"
"Selle Italia SLR TRI GEL Ti Rail Team Edition PROF 3.0 (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","49.99","300","https://bikecloset.com/product/sella-slr-tri-gel-t-e-prof-3-0/","8030282462922","1783751","1783751","2026-09-11T12:08:04.173Z"
"Selle Italia NOVUS SF 130 Carbon Rail Team Edition PROF 5.0 (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","79.99","379","https://bikecloset.com/product/sella-novus-sf-130-t-e-prof-5-0/","8030282492479","1783750","1783750","2026-09-11T12:08:04.173Z"
"Selle Italia SLR TRI GEL Carbon Rail Team Edition PROF 5.0 (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","79.99","379","https://bikecloset.com/product/sella-slr-tri-gel-t-e-prof-5-0/","8030282492561","1783749","1783749","2026-09-11T12:08:04.173Z"
"Selle Italia NOVUS Carbon Rail L Team Edition PROF 4.0 (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","79.99","379","https://bikecloset.com/product/sella-novus-l-t-e-prof-4-0/","8030282476400","1783748","1783748","2026-09-11T12:08:04.173Z"
"Selle Italia NOVUS BOOST Carbon Rail L Team Edition PROF 6.0 (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","79.99","379","https://bikecloset.com/product/sella-novus-boost-l-t-e-prof-6-0/","8030282513440","1783745","1783745","2026-09-11T12:08:04.173Z"
"Selle Italia NOVUS BOOST Carbon Rail S Team Edition PROF 6.0 (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","79.99","379","https://bikecloset.com/product/sella-novus-boost-s-t-e-prof-6-0/","8030282513426","1783744","1783744","2026-09-11T12:08:04.173Z"
"Silca EOLO IV REGULATOR BLACK/RED","Silca","","","","Accessories & tools","CO2 inflators","","","","","","","","26","26","https://bikecloset.com/product/eolo-iv-regulator-black-red/","810093160587","1795843","1795843","2026-09-11T12:08:04.173Z"
"Silca EOLO IV REGULATOR GREEN/GREY","Silca","","","","Accessories & tools","CO2 inflators","","","","","","","","26","26","https://bikecloset.com/product/eolo-iv-regulator-green-grey/","810093160594","1795839","1795839","2026-09-11T12:08:04.173Z"
"Rapha Ratio Glasses","Rapha","","","","Footwear & protection","Eyewear","","","","","","","","99","200","https://bikecloset.com/product/ratio-glasses/","5059526466277","1794810","1794810","2026-09-11T12:08:04.173Z"
"Pirelli Scorpion Trail M 29×2.40 Folding Tubeless Ready (OEM)","Pirelli","","OEM","","Wheels & tires","Tires","","","29 × 2.4 in","tires:29 × 2.4 in","29×2.40","","","49.99","103.9","https://bikecloset.com/product/pirelli-scorpion-trail-m-29x2-40-folding-tubeless-ready-oem/","","1793545","1793545","2026-09-11T12:08:04.173Z"
"Pirelli Scorpion Trail Rear 29×2.40 Tubeless Ready (OEM)","Pirelli","","OEM","","Wheels & tires","Tires","","","29 × 2.4 in","tires:29 × 2.4 in","29×2.40","","","39.99","103.9","https://bikecloset.com/product/pirelli-scorpion-trail-rear-29x2-40-tubeless-ready/","","1793542","1793542","2026-09-11T12:08:04.173Z"
"Pirelli Cinturato EVO TLR 700x30C Tubeless Ready Tanwall","Pirelli","","","","Wheels & tires","Tires","","","700 × 30 mm","tires:700 × 30 mm","700x30C","","","59.99","109.9","https://bikecloset.com/product/pirelli-cinturato-evo-tlr-700x30c-tubeless-ready-tanwall/","8019227471618","1793538","1793538","2026-09-11T12:08:04.173Z"
"POC Elicit  Fluorescent Orange Translucent + Extra Clear Lens","POC","","","","Footwear & protection","Eyewear","","","","","","","","149","290","https://bikecloset.com/product/elicit-elicit/","7325549860544","1792670","1792670","2026-09-11T12:08:04.173Z"
"Poc Devour Mid (Narrow)","POC","","","","Footwear & protection","Eyewear","","","","","","","","149","250","https://bikecloset.com/product/devour-mid-devour-mid/","7325549790674","1792668","1792668","2026-09-11T12:08:04.173Z"
"POC Devour Prismane Red + Extra Clear Lens","POC","","","","Footwear & protection","Eyewear","","","","","","","","149","300","https://bikecloset.com/product/devour-devour/","7325549798588","1792666","1792666","2026-09-11T12:08:04.173Z"
"Q36.5 Unique Road Shoes Green Fluo 42","Q36.5","","","","Footwear & protection","Cycling shoes","","","42","shoes:42","42","","","139","350","https://bikecloset.com/product/unique-road-shoes-green-fluo-42/","806258030864","1791473","1791473","2026-09-11T12:08:04.173Z"
